Quarter,Category,Name,End Amount,End Cost
20222,105.36,208.75,1,208.75
20222,105.36,501,4,2004.0
20222,105.36,964.8,1,964.8
20222,105.36,2244.95,1,2244.95
20222,105.36,668,3,2004.0
20222,105.36,1822.36,2,3644.72
20222,105.36,770.25,1,770.25
20222,105.36,167,8,1336.0
20222,105.36,49.75,66,3283.5
20222,105.36,219.35,1,219.35
20222,105.36,312,1,312.0
20222,105.36,175.5,1,175.5
20222,105.36,195,1,195.0
20222,105.36,170.6,1,170.6
20222,105.36,2.34,1000,2340.0
20222,105.36,3.34,200,668.0
20222,105.36,58.45,3,175.35
20222,105.36,88.51,12,1062.12
20222,105.36,62.46,4,249.84
20222,105.36,75.15,8,601.2
20222,105.36,91.85,4,367.4
20222,105.36,242.6,34,8248.4
20222,105.36,386.97,86,33279.42
20222,105.36,733.7,47,34483.9
20222,105.36,850.41,32,27213.12
20222,105.36,345.6,7,2419.2
20222,105.36,169.5,6,1017.0
20222,105.36,321.75,1,321.75
20222,105.36,55.72,13,724.36
20222,105.36,39.5,2,79.0
20222,105.36,9340.65,5,46703.25
20222,105.36,1648.5,4,6594.0
20222,105.36,4.01,100,401.0
20222,105.36,292.25,3,876.75
20222,105.36,16.7,26,434.2
20222,105.36,1144.25,3,3432.75
20222,105.36,375.99,2,751.98
20222,105.36,258.02,13,3354.26
20222,105.36,733.2,15,10998.0
20222,105.36,179.22,80,14337.6
20222,105.36,420.32,2,840.64
20222,105.36,179.6,2,359.2
20222,105.36,569.04,2,1138.08
20222,105.36,579.64,1,579.64
20222,105.36,16.7,26,434.2
20222,105.36,3618.3,26,94075.8
20222,105.36,3664.8,11,40312.8
20222,105.36,3829.01,23,88067.23
20222,105.36,7576,37,280312.0
20222,101.34,"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",1,0.0
20222,101.34,"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",1,0.0
20222,101.34,"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",1,0.0
20222,101.34,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",1,0.0
20222,101.34,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",1,0.0
20222,101.34,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",1,0.0
20222,101.34,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",1,0.0
20222,101.34,"Огнетушитель  ""Bontel"" 2 кг",1,0.0
20222,101.34,"Огнетушитель  ""Bontel"" 2 кг",1,0.0
20222,101.34,"Огнетушитель  ""Bontel"" 2 кг",1,0.0
20222,101.34,"Огнетушитель  ""Bontel"" 2 кг",1,0.0
20222,101.34,Ручная гидравлическая тележка KRONA CL 25-115,1,0.0
20222,101.34,Ручная гидравлическая тележка KRONA CL 25-115,1,0.0
20222,101.34,Система СКУД ,1,173259.48
20222,101.34,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",1,0.0
20222,101.34,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",1,0.0
20222,101.34,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",1,0.0
20222,101.34,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",1,0.0
20222,101.34,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",1,0.0
20222,101.34,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",1,0.0
20222,101.34,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",1,0.0
20222,101.34,Система СКУД,1,374291.73
20222,101.34,Считыватель ESMART Reader Stone (система контроля удаленного доступа),1,0.0
20222,101.34,Считыватель ESMART Reader Stone (система контроля удаленного доступа),1,0.0
20222,101.34,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),1,0.0
20222,101.34,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),1,0.0
20222,101.34,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),1,0.0
20222,101.34,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),1,0.0
20222,101.34,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),1,0.0
20222,101.34,"IP-камера купольная RVi-IPC33VS (2.8 мм,) (система видеонаблюдения)",1,0.0
20222,101.34,"Блок питания БИРП-12/1,6 (система контроля удаленного доступа)",1,0.0
20222,101.34,"Блок питания БИРП-12/1,6 (система контроля удаленного доступа)",1,0.0
20222,101.34,Кресло руководителя Амбассадор,1,0.0
20222,101.34,Кресло руководителя Амбассадор,1,0.0
20222,101.34,Кресло руководителя Амбассадор,1,0.0
20222,101.34,Кресло руководителя Амбассадор,1,0.0
20222,101.34,Кресло руководителя Амбассадор,1,0.0
20222,101.34,Кресло руководителя Амбассадор,1,0.0
20222,101.34,Кресло руководителя Амбассадор,1,0.0
20222,101.34,Кресло руководителя Амбассадор,1,0.0
20222,101.34,Кресло руководителя Амбассадор,1,0.0
20222,101.34,Кресло руководителя Амбассадор,1,0.0
20222,101.34,Кресло руководителя Амбассадор,1,0.0
20222,101.34,Кресло руководителя Амбассадор,1,0.0
20222,101.34,"Тревожная сигнализация(Яковоапостольский пер., дом 12стр1)",1,0.0
20222,101.34,Система автоматической пожарной сигнализации,1,138753.87
20222,101.34,Настенный кондиционер,1,0.0
20222,101.34,Настенный фанкойл Lessar,1,0.0
20222,101.34,"Система СКУД (Кожевнеческая ул., дом 10 стр 1, этаж 10, пом 2-15, 19-36) ",1,120342.09
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,1,0.0
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,1,0.0
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,1,0.0
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,1,0.0
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,1,0.0
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,1,0.0
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,1,0.0
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,1,0.0
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,1,0.0
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,1,0.0
20222,101.34,"Система СКУД (Нижний Сусальный пер, дом 5, стр. 19,4,5а(на вход в здание))",1,129267.5
20222,101.34,"Система СКУД (Яковоапостольский пер., д.12, стр. 1, этаж 6 помещение 3,4)",1,0.0
20222,101.34,"Система СКУД (Нижний Сусальный пер. дом 5 стр 15,17)",1,129267.5
20222,101.34,Система вентиляции и кондиционирования ,1,131918.45
20222,101.34,Тепловизор CEM DT-870,1,0.0
20222,101.34,"Система СКУД (Нижний Сусальный пер, дом 5, стр 19, пом:1,3,4,13,14,16)",1,154187.4
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,1,0.0
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,1,0.0
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,1,0.0
20222,101.34,"Система СКУД (Яковоапостольский переулок, дом № 12, строение 1)",1,141361.52
20222,101.34,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",1,0.0
20222,101.34,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",1,0.0
20222,101.34,"Тренажер Т11 ""Максим II-01""",1,0.0
20222,101.34,Автоматизированной системы хранения ключей (АСХК),1,570788.2
20222,101.34,"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",1,0.0
20222,101.34,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",1,0.0
20222,101.34,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",1,0.0
20222,101.34,"Огнетушитель  ""Bontel"" 2 кг",1,0.0
20222,101.34,"Огнетушитель  ""Bontel"" 2 кг",1,0.0
20222,101.34,"Холодильник ATLANT МХ 5810-62, однокамерный, объем 285 л, без морозильной камеры, белый",1,0.0
20222,101.34,"Рециркулятор бактерицидный ОВУ-06 "" Солнечный бриз-6""",1,0.0
20222,101.34,"Система СКУД (Нижний Сусальный переулок, дом 5, строение16, 3 этаж, помещения 305 и 306)",1,105852.0
20222,101.34,"Система СКС (Нижний Сусальный переулок дом 5, строение 19, этаж а2)",1,102838.86
20222,101.34,"Система ВОЛС (Нижний Сусальный переулок дом 5, строение 5а, этаж 4)",1,0.0
20222,101.34,"Система СКУД (Яковоапостольский пер., дом 12, стр. 1, этаж 3 помещение 9)",1,0.0
20222,101.34,Система СКУД (Пресненская наб. д.6 стр.2 этаж 6),1,385424.19
20222,101.34,Система видеонаблюдения (Пресненская наб. д.6 стр.2 этаж 6),1,524890.24
20222,101.34,Дозиметр-радиометр МКС-03СА,1,0.0
20222,101.34,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),1,0.0
20222,101.34,IP-камера купольная RVi-IPC33VS (2.8 мм) (система видеонаблюдения),1,0.0
20222,101.34,"Система СКУД (Нижний Сусальный пер, дом 5, стр 17, этаж 6, пом 1, комната 1)",1,0.0
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0301-B305,1,0.0
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,1,0.0
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,1,0.0
20222,101.34,IP-камера Dahua DH-IPC-HDBW91325RP-SL в комплекте с кабелем UTP Caplex IZ-C4U5-0,1,0.0
20222,101.34,Логгер Testo 174T с USB-интерфейсом,1,0.0
20222,101.34,Система СКУД ,1,437673.64
20222,101.34,Биометрическая система СКУД ,1,159719.93
20222,101.36,Термогигрометр TESTO 410-2,1,0.0
20222,101.36,Станция рабочая с экраном на металлоопорах на два рабочих места,1,0.0
20222,101.36,Станция рабочая с экраном на металлоопорах на два рабочих места,1,0.0
20222,101.36,Станция рабочая с экраном на металлоопорах на два рабочих места,1,0.0
20222,101.36,"Кресло для персонала CHAIRMAN 901,экокожа, черный/серый",1,0.0
20222,101.36,Принтер этикеток Zebra GK420t,1,0.0
20222,101.36,Гардероб глубокий для кабинета руководителя,1,0.0
20222,101.36,Перегородка мобильная 2055х2500 мм,1,153999.9
20222,101.36,"Доска магнитно-маркерная BRAUBERG PREMIUM, 2-сторонняя, 120х180 см, на стенде, ГАРАНТИЯ 10 лет",1,0.0
20222,101.36,"Доска магнитно-маркерная BRAUBERG PREMIUM, 2-сторонняя, 120х180 см, на стенде, ГАРАНТИЯ 10 лет",1,0.0
20222,101.36,Стол для персонала Geradom GD-1223,1,0.0
20222,101.36,Угловой двухместный элемент дивана,1,0.0
20222,101.36,"Диван 3-местный, тип 4, экокожа, бежевый",1,0.0
20222,101.36,"Диван 3-местный, тип 4, экокожа, бежевый",1,0.0
20222,101.36,"Диван 3-местный, тип 4, экокожа, бежевый",1,0.0
20222,101.36,Стол рабочий тип 1,1,0.0
20222,101.36,Стол для персонала Geradom GD-1223,1,0.0
20222,101.36,"Картотека ПРАКТИК AFC 04 шкаф 4 секцион. А4/FC, ц.замок, 467х630х1330, серый",1,0.0
20222,101.36,Тумба стационарная с замком ДСП 4 ящика,1,0.0
20222,101.36,Тумба стационарная с замком ДСП 4 ящика,1,0.0
20222,101.36,Тумба стационарная с замком ДСП 4 ящика,1,0.0
20222,101.36,"Диван двухместный РОЛАДН 1360х740х930, обивка экокожа черный",1,0.0
20222,101.36,"Стеллаж СТ-150 2000х1000х600 5 полок, 150кг на полку",1,0.0
20222,101.36,"Стеллаж СТ-150 2000х1000х400 6 полок, 150кг на полку",1,0.0
20222,101.36,Металлический складской стеллаж СТ-300 (настил фанера),1,0.0
20222,101.36,"Кресло для персонала CHAIRMAN 480,экокожа, черный",1,0.0
20222,101.36,Сушилка для рук Electrolux EHDA-2500,1,0.0
20222,101.36,Тумба мобильная ,1,0.0
20222,101.36,"Стол рабочий коллекции Тандем-А с экраном, 140x79x75 см, цвет дуб альпийский, ар",1,0.0
20222,101.36,"Стол для переговоров коллекции Сенатор, 240x120x75.9 см, цвет дуб шамони, арт. П",1,0.0
20222,101.36,Шкаф архивный NL 1860х850х500,1,0.0
20222,101.36,"Перегородка офисная ЛОГИКА, сплошной модуль 120х6,4х200 см",1,0.0
20222,101.36,"Диван двухместный, экокожа, черный",1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Стол на металлоопорах на одно рабочее место ,1,0.0
20222,101.36,Диван двухместный,1,0.0
20222,101.36,Шкаф глухой,1,0.0
20222,101.36,Шкаф глухой,1,0.0
20222,101.36,Шкаф глухой,1,0.0
20222,101.36,Офисная перегородка,1,0.0
20222,101.36,Офисная перегородка,1,0.0
20222,101.36,Офисная перегородка,1,0.0
20222,101.36,Офисная перегородка,1,0.0
20222,101.36,Офисная перегородка,1,0.0
20222,101.36,Офисная перегородка,1,0.0
20222,101.36,Кушетка смотровая,1,0.0
20222,101.36,Шкаф медицинский,1,0.0
20222,101.36,Шкаф архивный NL 1860х850х500,1,0.0
20222,101.36,Шкаф архивный NL 1860х850х400,1,0.0
20222,101.36,Переплетная машина на пластиковую пружину Gladwork CB-25D,1,0.0
20222,101.36,Шкаф архивный NL 1860х850х500,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Комплект оборудования для монтажа видеодомофонной связи,1,0.0
20222,101.36,Станция рабочая на два рабочих места (друг напротив друга) с экраном,1,0.0
20222,101.36,Станция рабочая на два рабочих места (друг напротив друга) с экраном,1,0.0
20222,101.36,Станция рабочая на два рабочих места (друг напротив друга) с экраном,1,0.0
20222,101.36,Станция рабочая на два рабочих места (друг напротив друга) с экраном,1,0.0
20222,101.36,IP-камера Dahua DH-IPC-HDBW91325RP-SL тип 2,1,0.0
20222,101.36,IP-камера Dahua DH-IPC-HDBW91325RP-SL тип 2,1,0.0
20222,101.36,"Кресло для отдыха Алекто, цвет бежевый",1,0.0
20222,101.36,"Кресло для отдыха Алекто, цвет черный",1,0.0
20222,101.36,Сейф VALBERG FRS-51 KL+KL,1,0.0
20222,101.36,Сушилка для рук Electrolux EHDA-2500,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
20222,101.36,Кресло руководителя,1,0.0
