name,warehouse_amount,warehouse_cost,category,start_amount_20221,start_cost_20221,plus_amount_20221,plus_cost_20221,minus_amount_2021,minus_cost_20221,end_amount_20221,end_cost_20221,Code,Measure,start_amount_20222,start_cost_20222,plus_amount_20222,plus_cost_20222,minus_amount_20222,minus_cost_20222,end_amount_20222,end_cost_20222,start_amount_20223,start_cost_20223,plus_amount_20223,plus_cost_20223,minus_amount_2023,minus_cost_20223,end_amount_20223,end_cost_20223,start_amount_20224,start_cost_20224,plus_amount_20224,plus_cost_20224,minus_amount_2024,minus_cost_20224,end_amount_20224,end_cost_20224
Вешалка напольная КР15 черный пластиковые шарики,23,50515.77,21.36,23.0,50515.77,0.0,0.0,0.0,0.0,23.0,50515.77,02-0000000017,ед,23.0,50515.77,0.0,0.0,0.0,0.0,23.0,50515.77,23.0,50515.77,0.0,0.0,0.0,0.0,23.0,50515.77,23.0,50515.77,0.0,0.0,0.0,0.0,23.0,50515.77
Вешалка напольная на колсах М 11 109х70х178 черный,6,24721.02,21.36,6.0,24721.02,0.0,0.0,0.0,0.0,6.0,24721.02,02-0000000017,ед,6.0,24721.02,0.0,0.0,0.0,0.0,6.0,24721.02,6.0,24721.02,0.0,0.0,0.0,0.0,6.0,24721.02,6.0,24721.02,0.0,0.0,0.0,0.0,6.0,24721.02
Вешалка напольная на колсах М 13 109х74х184 черный,5,18408.0,21.36,5.0,18408.0,0.0,0.0,0.0,0.0,5.0,18408.0,02-0000000017,ед,5.0,18408.0,0.0,0.0,0.0,0.0,5.0,18408.0,5.0,18408.0,0.0,0.0,0.0,0.0,5.0,18408.0,5.0,18408.0,0.0,0.0,0.0,0.0,5.0,18408.0
Винт самонарезной ШСГД редкая резьба 4,1,302.25,105.36,1.0,302.25,0.0,0.0,0.0,0.0,1.0,302.25,02-000000002159,упак,1.0,302.25,0.0,0.0,0.0,0.0,1.0,302.25,1.0,302.25,0.0,0.0,0.0,0.0,1.0,302.25,1.0,302.25,0.0,0.0,0.0,0.0,1.0,302.25
Водоочиститель WFP 2200 с кранами холодной  и горячей  воды,2,0.0,101.36,2.0,89152.0,0.0,0.0,0.0,0.0,2.0,89152.0,02-0000000017,ед,2.0,89152.0,0.0,0.0,0.0,0.0,2.0,89152.0,2.0,89152.0,0.0,0.0,0.0,0.0,2.0,89152.0,2.0,89152.0,0.0,0.0,0.0,0.0,2.0,89152.0
Вытяжная заклпка комбинированная 3,3,311.04,105.36,0.0,0.0,3.0,311.04,0.0,0.0,3.0,311.04,02-000000002976,упак,3.0,311.04,0.0,0.0,0.0,0.0,3.0,311.04,3.0,311.04,0.0,0.0,0.0,0.0,3.0,311.04,3.0,311.04,0.0,0.0,0.0,0.0,3.0,311.04
Гардероб,146,837342.9,21.36,146.0,837342.9,0.0,0.0,0.0,0.0,146.0,837342.9,02-0000000017,ед,146.0,837342.9,0.0,0.0,0.0,0.0,146.0,837342.9,146.0,837342.9,0.0,0.0,0.0,0.0,146.0,837342.9,146.0,837342.9,0.0,0.0,0.0,0.0,146.0,837342.9
Гардероб Geradom GD1189,20,0.0,101.36,20.0,162600.0,0.0,0.0,0.0,0.0,20.0,162600.0,02-0000000017,ед,20.0,162600.0,0.0,0.0,0.0,0.0,20.0,162600.0,20.0,162600.0,0.0,0.0,0.0,0.0,20.0,162600.0,20.0,162600.0,0.0,0.0,0.0,0.0,20.0,162600.0
Гардероб глубокий для кабинета руководителя,2,0.0,101.36,2.0,33803.12,0.0,0.0,0.0,0.0,2.0,33803.12,02-0000000017,ед,2.0,33803.12,0.0,0.0,0.0,0.0,2.0,33803.12,2.0,33803.12,0.0,0.0,0.0,0.0,2.0,33803.12,2.0,33803.12,0.0,0.0,0.0,0.0,2.0,33803.12
Гардероб для персонала тип 1 широкий,30,0.0,101.36,30.0,452715.3,0.0,0.0,0.0,0.0,30.0,452715.3,02-0000000017,ед,30.0,452715.3,0.0,0.0,0.0,0.0,30.0,452715.3,30.0,452715.3,0.0,0.0,0.0,0.0,30.0,452715.3,30.0,452715.3,0.0,0.0,0.0,0.0,30.0,452715.3
Гардероб для персонала тип 2 узкий,5,0.0,101.36,5.0,69589.25,0.0,0.0,0.0,0.0,5.0,69589.25,02-0000000017,ед,5.0,69589.25,0.0,0.0,0.0,0.0,5.0,69589.25,5.0,69589.25,0.0,0.0,0.0,0.0,5.0,69589.25,5.0,69589.25,0.0,0.0,0.0,0.0,5.0,69589.25
Гардероб для руководителя,5,0.0,101.36,5.0,182093.2,0.0,0.0,0.0,0.0,5.0,182093.2,02-0000000017,ед,5.0,182093.2,0.0,0.0,0.0,0.0,5.0,182093.2,5.0,182093.2,0.0,0.0,0.0,0.0,5.0,182093.2,5.0,182093.2,0.0,0.0,0.0,0.0,5.0,182093.2
Глубокий шкаф с тремя секциями,2,0.0,101.36,2.0,70667.86,0.0,0.0,0.0,0.0,2.0,70667.86,02-0000000017,ед,2.0,70667.86,0.0,0.0,0.0,0.0,2.0,70667.86,2.0,70667.86,0.0,0.0,0.0,0.0,2.0,70667.86,2.0,70667.86,0.0,0.0,0.0,0.0,2.0,70667.86
Горизонтальные жалюзи на мансардные окна ручное управление,12,93960.0,21.36,12.0,93960.0,0.0,0.0,0.0,0.0,12.0,93960.0,02-0000000017,ед,12.0,93960.0,0.0,0.0,0.0,0.0,12.0,93960.0,12.0,93960.0,0.0,0.0,0.0,0.0,12.0,93960.0,12.0,93960.0,0.0,0.0,0.0,0.0,12.0,93960.0
Дальномер Bosch GLM 80 0601072300,2,0.0,101.36,2.0,21514.0,0.0,0.0,0.0,0.0,2.0,21514.0,02-0000000017,ед,2.0,21514.0,0.0,0.0,0.0,0.0,2.0,21514.0,2.0,21514.0,0.0,0.0,0.0,0.0,2.0,21514.0,2.0,21514.0,0.0,0.0,0.0,0.0,2.0,21514.0
Дальномер лазерный CONDTROL XP2,6,20818.95,21.36,6.0,20818.95,0.0,0.0,0.0,0.0,6.0,20818.95,02-0000000017,ед,6.0,20818.95,0.0,0.0,0.0,0.0,6.0,20818.95,6.0,20818.95,0.0,0.0,0.0,0.0,6.0,20818.95,6.0,20818.95,0.0,0.0,0.0,0.0,6.0,20818.95
Дверь металлическая ПП EI60 2130х1370 двустворчатая,1,0.0,101.36,1.0,29800.0,0.0,0.0,0.0,0.0,1.0,29800.0,02-0000000017,ед,1.0,29800.0,0.0,0.0,0.0,0.0,1.0,29800.0,1.0,29800.0,0.0,0.0,0.0,0.0,1.0,29800.0,1.0,29800.0,0.0,0.0,0.0,0.0,1.0,29800.0
Двухместный элемент дивана,2,0.0,101.36,2.0,34410.0,0.0,0.0,0.0,0.0,2.0,34410.0,02-0000000017,ед,2.0,34410.0,0.0,0.0,0.0,0.0,2.0,34410.0,2.0,34410.0,0.0,0.0,0.0,0.0,2.0,34410.0,2.0,34410.0,0.0,0.0,0.0,0.0,2.0,34410.0
Держатель предфильтров UNIX,2,162.58,105.35,2.0,162.58,0.0,0.0,0.0,0.0,2.0,162.58,02-000000002557,упак,2.0,162.58,0.0,0.0,0.0,0.0,2.0,162.58,2.0,162.58,0.0,0.0,0.0,0.0,2.0,162.58,2.0,162.58,0.0,0.0,0.0,0.0,2.0,162.58
Детектор металла Bosch GMS 120 PROF 0601081000,1,6146.4,21.36,1.0,6146.4,0.0,0.0,0.0,0.0,1.0,6146.4,02-0000000017,ед,1.0,6146.4,0.0,0.0,0.0,0.0,1.0,6146.4,1.0,6146.4,0.0,0.0,0.0,0.0,1.0,6146.4,1.0,6146.4,0.0,0.0,0.0,0.0,1.0,6146.4
Диван 2местный,2,0.0,101.36,2.0,31225.26,0.0,0.0,0.0,0.0,2.0,31225.26,02-0000000017,ед,2.0,31225.26,0.0,0.0,0.0,0.0,2.0,31225.26,2.0,31225.26,0.0,0.0,0.0,0.0,2.0,31225.26,2.0,31225.26,0.0,0.0,0.0,0.0,2.0,31225.26
Диван 2х местный,5,42642.770000000004,21.36,5.0,42642.770000000004,0.0,0.0,0.0,0.0,5.0,42642.770000000004,02-0000000017,ед,5.0,42642.770000000004,0.0,0.0,0.0,0.0,5.0,42642.770000000004,5.0,42642.770000000004,0.0,0.0,0.0,0.0,5.0,42642.770000000004,5.0,42642.770000000004,0.0,0.0,0.0,0.0,5.0,42642.770000000004
Диван 2х местный Алекто,3,0.0,101.36,3.0,48563.55,0.0,0.0,0.0,0.0,3.0,48563.55,02-0000000017,ед,3.0,48563.55,0.0,0.0,0.0,0.0,3.0,48563.55,3.0,48563.55,0.0,0.0,0.0,0.0,3.0,48563.55,3.0,48563.55,0.0,0.0,0.0,0.0,3.0,48563.55
Диван 3местный,7,0.0,101.36,7.0,226468.17,0.0,0.0,0.0,0.0,7.0,226468.17,02-0000000017,ед,7.0,226468.17,0.0,0.0,0.0,0.0,7.0,226468.17,7.0,226468.17,0.0,0.0,0.0,0.0,7.0,226468.17,7.0,226468.17,0.0,0.0,0.0,0.0,7.0,226468.17
Диван 3местный прямой,1,0.0,101.36,1.0,61250.0,0.0,0.0,0.0,0.0,1.0,61250.0,02-0000000017,ед,1.0,61250.0,0.0,0.0,0.0,0.0,1.0,61250.0,1.0,61250.0,0.0,0.0,0.0,0.0,1.0,61250.0,1.0,61250.0,0.0,0.0,0.0,0.0,1.0,61250.0
Диван 3местный с деревянными подлокотниками,1,0.0,101.36,1.0,31832.0,0.0,0.0,0.0,0.0,1.0,31832.0,02-0000000017,ед,1.0,31832.0,0.0,0.0,0.0,0.0,1.0,31832.0,1.0,31832.0,0.0,0.0,0.0,0.0,1.0,31832.0,1.0,31832.0,0.0,0.0,0.0,0.0,1.0,31832.0
Диван 3х местный,1,0.0,101.36,1.0,37260.0,0.0,0.0,0.0,0.0,1.0,37260.0,02-0000000017,ед,1.0,37260.0,0.0,0.0,0.0,0.0,1.0,37260.0,1.0,37260.0,0.0,0.0,0.0,0.0,1.0,37260.0,1.0,37260.0,0.0,0.0,0.0,0.0,1.0,37260.0
Диван Астра,2,0.0,101.36,2.0,183840.0,0.0,0.0,0.0,0.0,2.0,183840.0,02-0000000017,ед,2.0,183840.0,0.0,0.0,0.0,0.0,2.0,183840.0,2.0,183840.0,0.0,0.0,0.0,0.0,2.0,183840.0,2.0,183840.0,0.0,0.0,0.0,0.0,2.0,183840.0
Диван двухместный,7,15800.1,101.36,7.0,76830.5,0.0,0.0,0.0,0.0,7.0,76830.5,02-0000000017,ед,7.0,76830.5,0.0,0.0,0.0,0.0,7.0,76830.5,7.0,76830.5,0.0,0.0,0.0,0.0,7.0,76830.5,7.0,76830.5,0.0,0.0,0.0,0.0,7.0,76830.5
Диван двухместный РОЛАДН 1360х740х930,2,0.0,101.36,2.0,28108.0,0.0,0.0,0.0,0.0,2.0,28108.0,02-0000000017,ед,2.0,28108.0,0.0,0.0,0.0,0.0,2.0,28108.0,2.0,28108.0,0.0,0.0,0.0,0.0,2.0,28108.0,2.0,28108.0,0.0,0.0,0.0,0.0,2.0,28108.0
Диван для посетителей темносерый,2,0.0,101.36,2.0,16597.6,0.0,0.0,0.0,0.0,2.0,16597.6,02-0000000017,ед,2.0,16597.6,0.0,0.0,0.0,0.0,2.0,16597.6,2.0,16597.6,0.0,0.0,0.0,0.0,2.0,16597.6,2.0,16597.6,0.0,0.0,0.0,0.0,2.0,16597.6
Диван тип 2,1,75604.41,101.36,1.0,107437.67,0.0,0.0,0.0,0.0,1.0,107437.67,02-0000000017,ед,1.0,107437.67,0.0,0.0,0.0,0.0,1.0,107437.67,1.0,107437.67,0.0,0.0,0.0,0.0,1.0,107437.67,1.0,107437.67,0.0,0.0,0.0,0.0,1.0,107437.67
Диван тип 3,4,0.0,101.36,4.0,81086.52,0.0,0.0,0.0,0.0,4.0,81086.52,02-0000000017,ед,4.0,81086.52,0.0,0.0,0.0,0.0,4.0,81086.52,4.0,81086.52,0.0,0.0,0.0,0.0,4.0,81086.52,4.0,81086.52,0.0,0.0,0.0,0.0,4.0,81086.52
Диван трехместный,2,0.0,101.36,2.0,28013.26,0.0,0.0,0.0,0.0,2.0,28013.26,02-0000000017,ед,2.0,28013.26,0.0,0.0,0.0,0.0,2.0,28013.26,2.0,28013.26,0.0,0.0,0.0,0.0,2.0,28013.26,2.0,28013.26,0.0,0.0,0.0,0.0,2.0,28013.26
Диван трехместный Evolution экокожа ArtVision 117 бежевый 2017463,1,0.0,101.36,1.0,27745.0,0.0,0.0,0.0,0.0,1.0,27745.0,02-0000000017,ед,1.0,27745.0,0.0,0.0,0.0,0.0,1.0,27745.0,1.0,27745.0,0.0,0.0,0.0,0.0,1.0,27745.0,1.0,27745.0,0.0,0.0,0.0,0.0,1.0,27745.0
Диван трехместный Geradom GD1075,2,0.0,101.36,2.0,29300.0,0.0,0.0,0.0,0.0,2.0,29300.0,02-0000000017,ед,2.0,29300.0,0.0,0.0,0.0,0.0,2.0,29300.0,2.0,29300.0,0.0,0.0,0.0,0.0,2.0,29300.0,2.0,29300.0,0.0,0.0,0.0,0.0,2.0,29300.0
Диспенсер Unibob K290 для клейкой упаковочной ленты шириной 50 мм,7,2004.17,105.36,8.0,2290.48,0.0,0.0,1.0,286.31,7.0,2004.17,02-000000002167,шт,7.0,2004.17,0.0,0.0,0.0,0.0,7.0,2004.17,7.0,2004.17,0.0,0.0,0.0,0.0,7.0,2004.17,7.0,2004.17,0.0,0.0,0.0,0.0,7.0,2004.17
Дозиметррадиометр МКС03СА,1,0.0,101.34,0.0,0.0,1.0,41551.2,0.0,0.0,1.0,41551.2,02-0000000017,ед,1.0,41551.2,0.0,0.0,0.0,0.0,1.0,41551.2,1.0,41551.2,0.0,0.0,0.0,0.0,1.0,41551.2,1.0,41551.2,0.0,0.0,0.0,0.0,1.0,41551.2
Доска магнитномаркерная,6,8045.28,101.36,6.0,40045.28,0.0,0.0,0.0,0.0,6.0,40045.28,02-0000000017,ед,6.0,40045.28,0.0,0.0,0.0,0.0,6.0,40045.28,6.0,40045.28,0.0,0.0,0.0,0.0,6.0,40045.28,6.0,40045.28,0.0,0.0,0.0,0.0,6.0,40045.28
