Name,Params,Price,Category,KPGZ Code,KPGZ,SPGZ Code,SPGZ
"Удлинитель в бухте POWER CUBE, 1 розетка с заземлением, 10 м, 3х0,75 мм, 1300 Вт, оранжевый","['Вес', 'Длина', 'Количество розеток', 'Морозостойкий кабель', 'Наличие выключателя', 'Наличие заземления', 'Наличие рамки', 'Рабочее напряжение', 'Степень защиты ', 'Цвет', 'Суммарная мощность нагрузки']",NULL,Удлинители бытового и аналогичного назначения,01.10.04.04.01,УДЛИНИТЕЛИ БЫТОВОГО И АНАЛОГИЧНОГО НАЗНАЧЕНИЯ,3346988,"Оборудование балансировки сетевого траффика, компл"
"Удлинитель РАДИСТ ПРЕМИУМ Р16-012, 3 розетки с заземлением, 7 м, 3х0,75 мм, 1300 Вт, белый","['Вес', 'Длина', 'Количество розеток', 'Мощность', 'Наличие заземления']",NULL,Удлинители бытового и аналогичного назначения,01.10.04.04.01,УДЛИНИТЕЛИ БЫТОВОГО И АНАЛОГИЧНОГО НАЗНАЧЕНИЯ,3346988,"Оборудование балансировки сетевого траффика, компл"
"Сетевой фильтр SONNEN U-353, 5 розеток, с заземлением, выключатель, защита от перегрузок, 10 А, 3 м","['Usb разъем', 'Вес', 'Длина кабеля', 'Защита', 'Наличие шторок на розетках', 'Индивидуальные выключатели розеток', 'Наличие выключателя на корпусе', 'Количество розеток', 'Корпус из негорючего материала', 'Цвет', 'Напряжение', 'Материал корпуса', 'Суммарная мощность нагрузки', 'Номинальная частота', 'Крепление на стену']",616.59,Фильтры сетевые,01.13.07.05.13,ФИЛЬТРЫ СЕТЕВЫЕ,3346988,"Оборудование балансировки сетевого траффика, компл"
Батарейка алкалиновая SONNEN 23АЕ 12В 1 шт.,"['Количество в упаковке', 'Номинальное напряжение', 'Упаковка', 'Тип электролита элемента питания', 'Размер элемента питания', 'Форма элемента питания', 'Вес']",69.15,Элементы питания (батарейки),01.10.04.02,ЭЛЕМЕНТЫ ПИТАНИЯ (БАТАРЕЙКИ),NULL,NULL
"Батарейка алкалиновая SONNEN AAA 1,5В 4 шт.","['Количество в упаковке', 'Номинальное напряжение', 'Упаковка', 'Тип электролита элемента питания', 'Размер элемента питания', 'Форма элемента питания', 'Вес']",NULL,Элементы питания (батарейки),01.10.04.02,ЭЛЕМЕНТЫ ПИТАНИЯ (БАТАРЕЙКИ),NULL,NULL
Настенный кронштейн Digis DSM-8043,['NULL'],NULL,Крепления,01.08.01.19,ОБОРУДОВАНИЕ И ИНВЕНТАРЬ ДЛЯ ЛЫЖНОГО СПОРТА,NULL,NULL
Выполнение работ по изготовлению полиграфической продукции (журналов и бухгалтерских книг).,['NULL'],NULL,Печатные работы....,02.17.04.04.99,РАБОТЫ ПЕЧАТНЫЕ ПРОЧИЕ,NULL,NULL
Перевозка грузов до 3 т.,"['Погрузка/разгрузка', 'Предельная масса груза', 'Предельный объём груза', 'Предельная длина груза']",890.00,Перевозка (доставка) грузов прочая,03.32.06,ПЕРЕВОЗКА (ДОСТАВКА) ГРУЗОВ ПРОЧАЯ,NULL,NULL
Пурифайер WFP-2200,"['Вес', 'Вид техники бытовой', 'Вид мелкой бытовой техники', 'Вид продукции', 'Вид товаров', 'Защита от детей', 'Количество кранов подачи воды', 'Объем бака горячей воды', 'Объем бака холодной воды', 'Цвет корпуса', 'Тип охлаждения воды', 'Мощность нагрева', 'Цвет вставки', 'Ступени очистки', 'Система  фильтрации']",NULL,Пурифайер...,01.20.01.05.02,ПУРИФАЙЕРЫ,NULL,NULL
Охранные услуги,"['Физическая охрана', 'Осуществление контрольно-пропускного режима', 'Охрана периметра', 'Охрана материальных ценностей', 'Выставление поста охраны']",NULL,Услуги частной охраны (выставление поста охраны),03.10.01.01,УСЛУГИ ЧАСТНОЙ ОХРАНЫ (ВЫСТАВЛЕНИЕ ПОСТА ОХРАНЫ),NULL,NULL
"Шкаф для ключей Сейф Onix К-48 Шкаф для 48 ключ.,240х80х300","['Тип замка', 'Возможность крепления к стене', 'Гарантийный срок', 'Вес', 'Материал корпуса', 'Высота', 'Наличие в салоне', 'Дверь (со стеклом/металлическая)', 'Количество мест для ключей', 'Глубина', 'Ширина', 'Артикул']",NULL,Шкафы хозяйственные металлические,01.16.07.01.06,ШКАФЫ ХОЗЯЙСТВЕННЫЕ МЕТАЛЛИЧЕСКИЕ,NULL,NULL
Перевозка грузов до 3 т.,"['Погрузка/разгрузка', 'Предельная масса груза', 'Предельный объём груза', 'Предельная длина груза']",890.00,Перевозка (доставка) грузов прочая,03.32.06,ПЕРЕВОЗКА (ДОСТАВКА) ГРУЗОВ ПРОЧАЯ,NULL,NULL
"Бумага цветная IQ COLOR (А4,80г,5цв. 39,40,44,42,48 по 50л.) пачка 250л.","['Плотность бумаги', 'Формат', 'Количество листов в пачке', 'Схема вложения', 'Интенсивность цвета', 'Цвет']",NULL,Бумага для офисной техники,01.15.01.01.01,БУМАГА ДЛЯ ОФИСНОЙ ТЕХНИКИ,NULL,NULL
"Средство чистящее для техники Rexant Cleaner 0,4 л","['Назначение средства', 'Объем флакона', 'Тип распылителя', 'Артикул']",NULL,Средства чистящие универсального назначения,01.20.04.01.13,СРЕДСТВА ЧИСТЯЩИЕ УНИВЕРСАЛЬНОГО НАЗНАЧЕНИЯ,NULL,NULL
Салфетка хозяйственная ЧУДО ТРЯПКА универсальная 25х23см 33 листа,"['Страна производитель', 'Схема вложения', 'Назначение салфеток', 'Материал салфеток', 'Плотность материала']",995.23,"Салфетки, насадки для уборки, полотна технические, ветошь",01.20.03.04.05.02,"САЛФЕТКИ, НАСАДКИ ДЛЯ УБОРКИ, ПОЛОТНА ТЕХНИЧЕСКИЕ, ВЕТОШЬ",NULL,NULL
"Салфетки Attache Selection Smart Price для экранов, туба, 100 штук, 110х160 мм","['Антибактериальный ', 'Количество штук в упаковке', 'Материал салфеток', 'Назначение салфеток', 'Отдушка', 'Размер салфетки', 'Тип']",NULL,Средства чистящие для бытовой техники,01.20.04.01.09,СРЕДСТВА ЧИСТЯЩИЕ ДЛЯ БЫТОВОЙ ТЕХНИКИ,NULL,NULL
Папка файловая на 100 файлов Attache Fantasy зеленый,"['Цвет', 'Вид материала', 'Количество в упаковке', 'Формат', 'Толщина материала', 'Ширина корешка', 'Наличие кармана на лицевой обложке папки', 'Количество файлов в папке']",NULL,Папки пластиковые,01.15.03.17.05,ПАПКИ ПЛАСТИКОВЫЕ,NULL,NULL
Клейкая лента упаковочная Комус 50мм х 100м 50мкм прозрачная,"['Цвет', 'Количество в упаковке', 'Количество упаковок в коробе', 'Длина намотки', 'Ширина, мм', 'Функциональное назначение', 'Длина (м)', 'Дополнительные свойства', 'Толщина (мкм)', 'Логотип', 'Вес упаковываемого груза (кг)']",NULL,Лента клейкая упаковочная,01.20.07.11.08,ЛЕНТА КЛЕЙКАЯ УПАКОВОЧНАЯ,NULL,NULL
Средство чистящее от скотча ХИМИТЕК АНТИСТИКЕР 0.4 л,"['Вес', 'Страна производства', 'Назначение средства', 'Срок годности', 'Гост/ту', 'Концентрат', 'Область применения', 'Консистенция', 'Степень пенности', 'Тип профессиональной химии', 'Показатель ph 1% раствора']",672.91,Средства чистящие универсального назначения,01.20.04.01.13,СРЕДСТВА ЧИСТЯЩИЕ УНИВЕРСАЛЬНОГО НАЗНАЧЕНИЯ,NULL,NULL
Файл-вкладыш Attache А4 30мкм,"['Вид', 'Вместимость', 'Количество в упаковке', 'Количество упаковок в коробе', 'Материал', 'Назначение файла-вкладыша', 'Перфорация', 'Размер', 'С расширением', 'Цвет', 'Фактура', 'Формат', 'Толщина', 'Формат папки ориентирован']",259.58,Файлы-вкладыши пластиковые,01.15.03.17.06,ФАЙЛЫ-ВКЛАДЫШИ ПЛАСТИКОВЫЕ,24484678,Файл-вкладыш
Оказание услуг по проведению технической экспертизы с выдачей актов технической экспертизы вычислительного и телекоммуникационного оборудования на каждую единицу техники (вычислительного и телекоммуникационного оборудования),"['Диагностика', 'Выдача заключения', 'Вид услуги по оценке', 'Основание', 'Согласование с заказчиком работ, при необходимости устранение замечаний заказчика']",NULL,Экспертиза технического состояния,03.30.01.02,ЭКСПЕРТИЗА ТЕХНИЧЕСКОГО СОСТОЯНИЯ,NULL,NULL
"Разработка логотипа, фирменного стиля и Руководства по использованию фирменного стиля","['Логотип', 'Фирменные цвета', 'Фирменная графика', 'Примеры оформления носителей фирменного стиля', 'Миссия бренда', 'Принципы размещения логотипа', 'Размеры и охранное поле логотипа']",NULL,Услуги консалтинговые прочие,03.22.99,УСЛУГИ КОНСАЛТИНГОВЫЕ ПРОЧИЕ,NULL,NULL
Охранные услуги,"['Физическая охрана', 'Осуществление контрольно-пропускного режима', 'Охрана периметра', 'Охрана материальных ценностей', 'Выставление поста охраны']",NULL,Услуги частной охраны (выставление поста охраны),03.10.01.01,УСЛУГИ ЧАСТНОЙ ОХРАНЫ (ВЫСТАВЛЕНИЕ ПОСТА ОХРАНЫ),NULL,NULL
"Мешки для мусора 180л, ВД, 90х110см, 50шт/рул.","['Объем', 'Вес', 'Страна производства', 'Артикул', 'Количество в упаковке', 'Плотность', 'Цвет', 'Тип упаковки', 'Наличие ручек/завязок', 'Длина, см', 'Ширина, см', 'Высота ведра не более, см', 'Ароматизированные', 'Количество рулонов в транспортной коробке', 'Биоразлагаемые', 'Круглое ведро: верхний диаметр не более, см', 'Круглое ведро: объем не более, л', 'Прямоугольное ведро: объем не более']",NULL,Мешки полимерные,01.20.07.11.03.01.02,МЕШКИ ПОЛИМЕРНЫЕ,NULL,NULL
Набор для чистки оргтехники ProМEGA Оffice LCD/TFT спрей 500мл микрофибра,"['Антибактериальный ', 'Материал салфеток', 'Назначение средства', 'Объем', 'Отдушка', 'Размер салфетки', 'Распылитель', 'Салфетка в комплекте']",NULL,Средства чистящие для бытовой техники,01.20.04.01.09,СРЕДСТВА ЧИСТЯЩИЕ ДЛЯ БЫТОВОЙ ТЕХНИКИ,NULL,NULL
Полотенца бумажные д/держ.VeiroA1/A2 Premium 2сл.160м 6рул K304,"['Рисунок', 'Схема вложения', 'Количество слоев', 'Цвет бумаги', 'Плотность материала', 'Тиснение', 'Размер листа', 'Для диспенсеров', 'Система Tork', 'Количество в упаковке', 'Тип полотенец', 'Перфорация', 'Длина рулона', 'Количество листов в пачке/рулоне', 'Сырье', 'Тип сложения']",NULL,Полотенца бумажные,01.20.05.03.04.02,ПОЛОТЕНЦА БУМАЖНЫЕ,NULL,NULL
Подписка на  периодические печатные издания,"['Периодичность', 'Формат', 'Язык издания', 'Страна производитель']",9267.36,Обеспечение периодическими изданиями,03.12.05.04,ОБЕСПЕЧЕНИЕ ПЕРИОДИЧЕСКИМИ ИЗДАНИЯМИ,NULL,NULL
Аренда автомобиля с водителем,"['Аренда автомобиля с водителем', 'Категория в', 'Наличие кондиционера', 'Эконом класс']",NULL,Аренда автомобилей легковых с водителем,03.31.03.01.01,АРЕНДА АВТОМОБИЛЕЙ ЛЕГКОВЫХ С ВОДИТЕЛЕМ,NULL,NULL
Аренда автомобиля с водителем,"['Аренда автомобиля с водителем', 'Категория в', 'Наличие кондиционера', 'Эконом класс']",NULL,Аренда автомобилей легковых с водителем,03.31.03.01.01,АРЕНДА АВТОМОБИЛЕЙ ЛЕГКОВЫХ С ВОДИТЕЛЕМ,NULL,NULL
Семинары по важнейшим изменениям в области бухгалтерского учёта из первых уст ведущих лекторов Минфина России.,"['Предоставление консультационных услуг', 'Предоставление печатной версии программы', 'Наименование мероприятия', 'Вид консультирования', 'Цель обучения', 'Результат обучения', 'Категория слушателей', 'Отрасль', 'Предоставление методических пособий']",NULL,Иные учебные мероприятия,03.03.99,ИНЫЕ УЧЕБНЫЕ МЕРОПРИЯТИЯ,NULL,NULL
"Вывоз и утилизация медицинского оборудования, усл. ед","['Наличие лицензии', 'Сбор отходов', 'Транспортировка отходов', 'Вывоз отходов осуществляется спецтранспортом исполнителя']",NULL,Услуги по обращению с прочими отходами,03.08.03.01.02.99,УСЛУГИ ПО ОБРАЩЕНИЮ С ПРОЧИМИ ОТХОДАМИ,NULL,NULL
Доступ к базе резюме,"['Вид продукции', 'Вид услуги', 'Вид услуг информационно-технологических (ит)', 'Наличие личного кабинета Клиента', 'Организация доступа к базе данных', 'Возможность работы с данными', 'Техническая поддержка']",NULL,"Услуги по обработке данных информационных систем, ресурсов и программно-технических комплексов",03.13.06,"УСЛУГИ ПО ОБРАБОТКЕ ДАННЫХ ИНФОРМАЦИОННЫХ СИСТЕМ, РЕСУРСОВ И ПРОГРАММНО-ТЕХНИЧЕСКИХ КОМПЛЕКСОВ",NULL,NULL
Сейф бухгалтерский огнестойкий Valberg BM 1993 KL,"['Тип замка', 'Высота', 'Ширина', 'Глубина', 'Класс огнестойкости']",105900.00,Сейфы прочие,01.16.17.02,СЕЙФЫ ПРОЧИЕ,NULL,NULL
Доска магнитно-маркерная 100х150 см,"['Вес', 'Ширина', 'Алюминиевая рамка доски', 'Вид доски', 'Количество поверхностей для письма маркером', 'Количество рабочих поверхностей', 'Магнитная поверхность', 'Материал рамки', 'Наличие полочки', 'Покрытие доски', 'Цвет доски', 'Наличие рамки', 'Тм']",NULL,Доски магнитно-маркерные,01.15.05.03.01.01,ДОСКИ МАГНИТНО-МАРКЕРНЫЕ,NULL,NULL
"Доска пробковая ""Magnetoplan"", с алюминиевой рамкой, 60 см х 45 см","['Вес', 'Ширина упаковки', 'Высота упаковки', 'Глубина упаковки', 'Упаковка', 'Тип']",NULL,Доски информационные,01.15.05.03.01.04,ДОСКИ ИНФОРМАЦИОННЫЕ,NULL,NULL
Доска магнитно-маркерная 60х90см,"['Алюминиевая рамка доски', 'Вес', 'Магнитная поверхность', 'Наличие креплений к доске', 'Наличие полочки', 'Тип доски', 'Тм', 'Цвет рабочей поверхности', 'Ширина']",NULL,Доски магнитно-маркерные,01.15.05.03.01.01,ДОСКИ МАГНИТНО-МАРКЕРНЫЕ,NULL,NULL
Brauberg Доска пробковая 60 х 90 см,"['Вес', 'Ширина упаковки', 'Высота упаковки', 'Глубина упаковки', 'Тип']",2022.00,Доски информационные,01.15.05.03.01.04,ДОСКИ ИНФОРМАЦИОННЫЕ,NULL,NULL
Доска 100Х150 поворотная,"['Алюминиевая рамка доски', 'Вид доски', 'Вращается в горизонтальной плоскости на 360 градусов', 'Магнитная поверхность', 'Материал рабочей поверхности', 'Цвет доски', 'Ширина']",NULL,Доски магнитно-маркерные,01.15.05.03.01.01,ДОСКИ МАГНИТНО-МАРКЕРНЫЕ,NULL,NULL
"Доска магнитно-маркерная STAFF, 60х90 см, алюминиевая рамка","['Вес', 'Комплектация', 'Высота доски', 'Материал рамы', 'Тип крепления', 'Перемещается на колесиках', 'Высота в сборе', 'Вращается в горизонтальной плоскости на 360 градусов', 'Укреплённые пластиковые уголки', 'Масса', 'Материал рабочей поверхности', 'Покрытие рабочей поверхности', 'Разметка', 'Ширина']",2777.40,Доски магнитно-маркерные,01.15.05.03.01.01,ДОСКИ МАГНИТНО-МАРКЕРНЫЕ,NULL,NULL
"Доска магнитно-маркерная 90х120 см, алюминиевая рамка, полочка","['Вес', 'Вид доски', 'Длина', 'Ширина', 'Алюминиевая рамка доски', 'Наличие полочки', 'Тип доски', 'Тип покрытия доски', 'Тм']",NULL,Доски магнитно-маркерные,01.15.05.03.01.01,ДОСКИ МАГНИТНО-МАРКЕРНЫЕ,NULL,NULL
Флипчарт на роликах,"['Материал', 'Тип опоры', 'Тип покрытия доски', 'ТМ', 'Размер изделия']",NULL,Флипчарты,01.15.05.03.01.05,ФЛИПЧАРТЫ,NULL,NULL
Доска магнитно-маркерная настенная 120х180,"['Алюминиевая рамка доски', 'Вес', 'Магнитная поверхность', 'Наличие полочки', 'Покрытие рабочей поверхности', 'Тм', 'Цвет', 'Ширина']",NULL,Доски магнитно-маркерные,01.15.05.03.01.01,ДОСКИ МАГНИТНО-МАРКЕРНЫЕ,NULL,NULL
"Флипчарт магнитно-маркерный 70х100 см, на треноге","['ТМ', 'Цвет', 'Держатель блокнота', 'Наличие полочки', 'Регулировка по высоте', 'Тип опоры', 'Тип покрытия доски', 'Длина', 'Ширина']",NULL,Флипчарты,01.15.05.03.01.05,ФЛИПЧАРТЫ,NULL,NULL
Доска поворотная комбинированная 100х180,"['Алюминиевая рамка доски', 'Вращается в горизонтальной плоскости на 360 градусов', 'Двусторонняя', 'Магнитная поверхность', 'Перемещается на колесиках', 'Тм', 'Ширина']",NULL,Доски магнитно-маркерные,01.15.05.03.01.01,ДОСКИ МАГНИТНО-МАРКЕРНЫЕ,NULL,NULL
Метал.Мебель N_СД-207 ДСП Табурет-стремянка 380х370х580,"['Вес изделия', 'Материал каркаса', 'Цвет каркаса', 'Высота', 'Наличие в салоне', 'Ширина', 'Глубина', 'Материал сиденья, спинки, планки под крючки', 'Максимальная допустимая нагрузка', 'Цвет сиденья и спинки']",3159.00,Скамьи,01.16.20.01.01,СКАМЬИ,NULL,NULL
Изготовление бланков,"['Бумага', 'Вид бумаги', 'Вид работ', 'Количество листов', 'Формат бланков', 'Цветность печати']",NULL,Работы по изготовлению полиграфической продукции...,02.17.04.08,РАБОТЫ ПО ИЗГОТОВЛЕНИЮ ПОЛИГРАФИЧЕСКОЙ ПРОДУКЦИИ,NULL,NULL
Изготовление визиток,"['Вид работ', 'Доставка', 'Изготовление макета', 'Изготовление по макету заказчика', 'Разработка дизайна', 'Бумага', 'Вид бумаги', 'Тираж 1 комплекта', 'Формат визитной карточки', 'Цветность']",NULL,Работы по изготовлению полиграфической продукции...,02.17.04.08,РАБОТЫ ПО ИЗГОТОВЛЕНИЮ ПОЛИГРАФИЧЕСКОЙ ПРОДУКЦИИ,NULL,NULL
"Техническое обслуживание систем вентиляции, холодоснабжения, индивидуального теплового пункта","['Вид работ', 'Вид услуги', 'Техническое обслуживание задвижек', 'Техническое обслуживание крана', 'Техническое обслуживание трубопроводов']",NULL,Обслуживание техническое и текущий ремонт комплекса инженерных коммуникаций в зданиях,03.07.01.01.03.03,ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И ТЕКУЩИЙ РЕМОНТ КОМПЛЕКСА ИНЖЕНЕРНЫХ КОММУНИКАЦИЙ В ЗДАНИЯХ,NULL,NULL
Изготовление солнцезащитных систем рулонных жалюзи для окон,"['Вид работ', 'Вид товаров', 'Длина', 'Изготовление', 'Материал', 'Страна изготовитель', 'Тип управления']",NULL,"Монтаж, установка, сборка прочего оборудования...",02.12.99,"МОНТАЖ, УСТАНОВКА, СБОРКА ПРОЧЕГО ОБОРУДОВАНИЯ",NULL,NULL
Оказание услуги по разборке-сборке мебели,"['Сборка мебели', 'Сборка/разборка мебели', 'Упаковка мебели', 'Перенос мебели между этажами без применения лифта', 'Погрузка/разгрузка мебели']",NULL,Ремонт мебели,03.36.02.02,РЕМОНТ МЕБЕЛИ,NULL,NULL
Управление продуктом на основе аналитики. Go Practice! Симулятор,"['Количество академических часов', 'Минимальный размер группы', 'Цель обучения', 'Длительность курса', 'Объём учебной программы', 'Форма обучения', 'Время проведения занятий', 'Срок выполнения']",NULL,Услуги консалтинговые прочие,03.22.99,УСЛУГИ КОНСАЛТИНГОВЫЕ ПРОЧИЕ,NULL,NULL
Оказание услуги по доочистке водопроводной воды при помощи аппаратов водоочистки,"['Вид продукции', 'Дополнительные работы', 'Количество фильтрующих элементов, подлежащих замене', 'Монтажные работы', 'Оборудование, подлежащее техническому обслуживанию']",19500.00,Обслуживание техническое и содержание водосточной сети,03.07.01.03.01,ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ВОДОСТОЧНОЙ СЕТИ,NULL,NULL
Пурифайер WFP-2200,"['Вид товаров', 'Высота', 'Глубина', 'Ширина', 'Мощность нагрева воды', 'Мощность охлаждения воды', 'Объем бака горячей воды', 'Объем бака холодной воды', 'Вес']",NULL,Пурифайеры,01.20.01.05.02,ПУРИФАЙЕРЫ,NULL,NULL
Термопот SCARLETT SC-ET10D50 (750 Вт),"['Мощность', 'Объем', 'Подсветка', 'Ширина', 'Индикатор уровня воды', 'Функция повторного кипячения', 'Дисплей', 'Съемная крышка', 'Длина шнура', 'Высота', 'Глубина', 'Поддержание температуры воды', 'Вид нагревательного элемента', 'Ручка для переноски', 'Вес', 'Автоотключение при закипании', 'Масса', 'Отключение при отсутствии воды', 'Выставляемые температуры']",NULL,Термопоты бытовые,01.20.01.03.05,ТЕРМОПОТЫ БЫТОВЫЕ,NULL,NULL
"Микроволновая печь MYSTERY MMW-2012, объем 20 л, мощность 800 Вт, механическое управление, таймер, белая","['Внутреннее освещение', 'Мощность микроволн', 'Объем камеры', 'Режимы работы', 'Таймер', 'Вес']",NULL,Печи микроволновые,01.20.01.02,ПЕЧИ МИКРОВОЛНОВЫЕ,NULL,NULL
Чайник электрический BOSCH TWK3A013 2400Вт 1.7л черный,"['Вес', 'Цвет корпуса', 'Мощность', 'Объем', 'Вид нагревательного элемента', 'Фильтр от накипи', 'Звуковой сигнал при закипании', 'Индикатор уровня воды', 'Вращение на 360°', 'Высота', 'Глубина', 'Длина шнура', 'Ширина', 'Материал корпуса', 'Функция автоматического отключения при отсутствии воды', 'Функция автоматического отключения при закипании воды', 'Индикатор включения', 'Подсветка ', 'Чашки в комплекте']",4255.91,Электрочайники бытовые,01.20.01.03.01.01,ЭЛЕКТРОЧАЙНИКИ БЫТОВЫЕ,NULL,NULL
"Кофемашина DELONGHI Magnifica S ECAM 22.110.SB, 1450 Вт, объем 1,8 л, ручной капучинатор, серебристая","['Давление', 'Автоматическая программа очистки от кофейного жира', 'Автоматическая программа очистки от накипи', 'Встроенная кофемолка', 'Емкость для воды', 'Емкость резервуара для зерен', 'Используемый кофе', 'Капучинатор', 'Материал жерновов', 'Одновременное приготовление двух чашек', 'Тип нагревателя']",45500.00,Кофемашины автоматические бытовые,01.20.01.03.11,КОФЕМАШИНЫ АВТОМАТИЧЕСКИЕ БЫТОВЫЕ,NULL,NULL
Изготовление полиграфической продукции: Карандаш с логотипом,"['Вид работ', 'Материал', 'Форма', 'Цвет изделия', 'Цветность печати']",NULL,Работы по изготовлению полиграфической продукции...,02.17.04.08,РАБОТЫ ПО ИЗГОТОВЛЕНИЮ ПОЛИГРАФИЧЕСКОЙ ПРОДУКЦИИ,NULL,NULL
