Quarter,Category,Code,Name,Measure,Start Amount,Start Cost,Flow In Amount,Flow In Cost,Flow Out Amount,Flow Out Cost,End Amount,End Cost
20221,105.36,02-000000002167,Диспенсер Unibob K-290 для клейкой упаковочной ленты шириной 50 мм,шт,8.0,2290.48,,,1.0,286.31,7.0,2004.17
20221,105.36,02-000000002700,Драм-картридж для лазерных многофункциональных устройств (МФУ) CF358A.,шт,12.0,57196.8,,,12.0,57196.8,,
20221,105.36,02-000000002701,Драм-картридж для лазерных многофункциональных устройств (МФУ) CF359A.,шт,6.0,74275.2,,,6.0,74275.2,,
20221,105.36,02-000000002702,Драм-картридж для лазерных многофункциональных устройств (МФУ) CF364A.,шт,6.0,74275.2,,,6.0,74275.2,,
20221,105.36,02-000000002703,Драм-картридж для лазерных многофункциональных устройств (МФУ) CF365A.,шт,6.0,74275.2,,,6.0,74275.2,,
20221,105.36,02-000000002149,Дюбель для гипсокартона driva. PA 14*32 нейлон. SORMAT,шт,200.0,2920.0,,,30.0,438.0,170.0,2482.0
20221,105.36,02-000000002147,Дюбель распорный Tchappai 8*40 Tech-Krep 111471,шт,4.0,183.2,,,,,4.0,183.2
20221,105.36,02-000000002146,Дюбель распорный Чапай 6*40,шт,5.0,277.75,,,,,5.0,277.75
20221,105.36,02-000000002794,Ежедневник с логотипом,шт,250.0,115805.0,,,250.0,115805.0,,
20221,105.36,02-000000002975,"Заклепка вытяжная 4,0х10мм",упак,,,3.0,388.8,,,3.0,388.8
20221,105.36,02-000000002974,Заклепочник Gross 40405,упак,,,1.0,2561.76,,,1.0,2561.76
20221,105.36,02-000000002197,Изготовление знака E02-01 (Направляющая стрелка) 200*200 мм на фотолюменисцентной пленке,шт,6.0,660.0,,,,,6.0,660.0
20221,105.36,02-000000002198,Изготовление знака E22 (Указатель выхода) 300*150 мм фотолюменисцентной пленке,шт,3.0,372.0,,,,,3.0,372.0
20221,105.36,02-000000002195,Изготовление знака F04 (Огнетушитель) 100*100 мм на фотолюминесцентной пленке,шт,14.0,392.0,,,,,14.0,392.0
20221,105.36,02-000000002196,Изготовление знака F10 (Рожарный извещатель) 100*100 мм на фотолюминесцентной пленке,шт,31.0,868.0,,,,,31.0,868.0
20221,105.36,02-000000002200,"Изготовление знака на самоклеющейся пленке, EC01 (Аптечка) 200*200 мм",шт,20.0,560.0,,,,,20.0,560.0
20221,105.36,02-000000002199,"Изготовление знака на самоклеющейся пленке, P01-00 (Запрещается курить), 204*204 мм",шт,100.0,2800.0,,,,,100.0,2800.0
20221,105.36,02-000000002201,"Изготовление знака на самоклеющейся пленке, Р01-02 (Круг желтый) 200 мм",шт,30.0,840.0,,,,,30.0,840.0
20221,105.36,02-000000002585,Изготовление металлической цифры «0»,шт,95.0,10775.85,,,39.0,4423.77,56.0,6352.08
20221,105.36,02-000000002579,Изготовление металлической цифры «1»,шт,85.0,9134.1,,,45.0,4835.7,40.0,4298.4
20221,105.36,02-000000002580,Изготовление металлической цифры «2»,шт,15.0,1701.45,,,,,15.0,1701.45
20221,105.36,02-000000002581,Изготовление металлической цифры «3»,шт,15.0,1701.45,,,,,15.0,1701.45
20221,105.36,02-000000002582,Изготовление металлической цифры «4»,шт,15.0,1999.95,,,,,15.0,1999.95
20221,105.36,02-000000002583,Изготовление металлической цифры «6»,шт,15.0,1701.45,,,,,15.0,1701.45
20221,105.36,02-000000002584,Изготовление металлической цифры «9»,шт,15.0,1701.45,,,,,15.0,1701.45
20221,105.36,02-000000001378,Изолента,рул,15.0,626.25,,,,,15.0,626.25
20221,105.36,02-000000001377,"Кабель ВВГ нгLS3*2,5",шт,220.0,12859.0,,,,,220.0,12859.0
20221,105.36,02-000000001338,Кабель-канал с двойным замком белый 25*16,шт,58.0,2726.0,,,,,58.0,2726.0
20221,105.36,02-000000002795,Календарь квартальный с логотипом,шт,150.0,51600.0,,,150.0,51600.0,,
20221,105.36,02-000000001366,Кисть малярная плоская ширина 50,шт,16.0,801.6,,,,,16.0,801.6
20221,105.36,02-000000002160,Клей МОМЕНТ Супер Гель,шт,14.0,1365.0,,,4.0,390.0,10.0,975.0
20221,105.36,02-000000001357,Клещи переставные 250мм,шт,2.0,835.0,,,,,2.0,835.0
20221,105.36,02-000000001355,"Ключ разводной 888 6833208 8"", с обрезиненной рукояткой",шт,1.0,250.5,,,,,1.0,250.5
20221,105.36,02-000000001356,"Ключ разводной 888 6833210 10"", с обрезиненной рукояткой",шт,2.0,668.0,,,,,2.0,668.0
20221,105.36,02-000000002681,"Конверт E65 110х220 мм, PostFix, белый, силик. лента, 80гр/м2, 1000 шт./в упак.",шт,1000.0,1586.5,,,1000.0,1586.5,,
20221,105.36,02-000000002683,"Конверт В4 (240х350 мм), крафт, без клея, треугольный клапан, 500 шт./в упак.",шт,500.0,3548.75,,,500.0,3548.75,,
20221,105.36,02-000000002679,"Конверт С4 (229х324), PostFix, белый, силиконовая лента, 90 гр/м2, 250 шт./в упак.",шт,5000.0,17114.2,,,5000.0,17114.21,,
20221,105.36,02-000000002682,"Конверт С5 (162х229 мм) крафт, с клеем, треугольный клапан, 1000 шт./в упак.",шт,1000.0,2254.5,,,1000.0,2254.5,,
20221,105.36,02-000000002680,"Конверт С5 162х229 мм, PostFix, белый, силиконовая лента, внутр. запечатка, 80 гр/м2, 1000 шт./в упак.",шт,10000.0,15865.0,,,10000.0,15865.0,,
20221,105.36,02-000000001318,"Контейнер для мусора IDEA Эко черный/серый, 50 л, пластик (42х59 см)",шт,7.0,5303.27,,,,,7.0,5303.27
20221,105.36,02-000000002169,"Корзина для мусора 10 л пластик черная, арт.325533",шт,150.0,9741.0,,,,,150.0,9741.0
20221,105.36,02-000000001319,"Корзина офисная 10 л пластик, черная Attache",шт,58.0,3702.72,,,,,58.0,3702.72
20221,105.36,02-000000001087,Короб 650*450*450 картон Т23 бурый 10 шт./уп.,упак,13.0,9378.13,,,4.0,2885.58,9.0,6492.55
20221,105.36,02-000000002354,Лезвие Carbide (5шт.) для ножа Stenley 0-11-800,шт,3.0,659.88,,,,,3.0,659.88
20221,105.36,02-000000001346,Лента K-FLEX,шт,6.0,4076.04,,,,,6.0,4076.04
20221,105.36,02-000000001011,"Лента Scotch монтажная двухсторонняя прозрачная 19 мм*1,5м",шт,36.0,22711.09,,,7.0,4416.04,29.0,18295.05
20221,105.36,02-000000002798,Лента для бейджа с логотипом,шт,150.0,23844.0,,,150.0,23844.0,,
20221,105.36,02-000000002161,Лента оградительная красно-белая,шт,12.0,1755.0,,,,,12.0,1755.0
20221,105.36,02-000000001379,Лента-фум,рул,4.0,334.0,,,,,4.0,334.0
20221,105.36,02-000000002151,Магнитный браслет с неодимовыми магнитами MasterProf. HS.110038,шт,1.0,682.5,,,,,1.0,682.5
20221,105.36,02-000000002972,Мастика для опечатывания 100 г,шт,,,20.0,1209.6,,,20.0,1209.6
20221,105.36,02-000000002967,Мини-валик малярный в сборе STAYER MASTER DUALON 03-05812-11,шт,,,8.0,1382.4,,,8.0,1382.4
20221,105.36,02-000000002150,Монтировка АВТОДЕТАЛЬ,шт,1.0,819.95,,,,,1.0,819.95
20221,105.36,02-000000001332,Набор бит KRAFTOOL 25556-H43,компл,1.0,1164.15,,,,,1.0,1164.15
20221,105.36,02-000000001331,"Набор отверток диэлектрических 1000В с пробником, 8 предметов, пластиковый кейс, Энкор 19835",компл,1.0,676.6,,,,,1.0,676.6
20221,105.36,02-000000001384,"Набор силовых отверток с держателем, 6предметов МАСТАК 04-6GRB",к-т,2.0,4137.0,,,,,2.0,4137.0
20221,105.36,02-000000001380,Насадка для шуруповерта Torsion PH2 25мм,шт,16.0,304.64,,,,,16.0,304.64
20221,105.36,02-000000001417,Настенный кондиционер DAIKIN FAA71A/RR71BV Nord-40T (пульт BRC1H519W7),шт,1.0,267641.64,,,,,1.0,267641.64
20221,105.36,02-000000002796,"Настольный, перекидной календарь ""домикс логотипом",шт,150.0,47064.0,,,150.0,47064.0,,
20221,105.36,02-000000002353,Нож кровельный Stenley 99 RETRACTABLE 2-10-099 с трапециевидным лезвием,шт,1.0,452.08,,,,,1.0,452.08
20221,105.36,02-000000003116,"Освежитель воздуха Gold Wind ""Океан"", ручной",шт,,,450.0,22266.0,450.0,22266.0,,
20221,105.36,02-000000002143,"Отвертка тестер 70-250 В,SPARTA",шт,2.0,518.7,,,,,2.0,518.7
20221,105.36,02-000000001376,Очиститель монтажной пены,шт,3.0,626.25,,,1.0,208.75,2.0,417.5
20221,105.36,02-000000002168,"Пакет ПНД 25+12*45 12мкм, 100 шт.уп.,белый",упак,3.0,164.85,,,,,3.0,164.85
20221,105.36,02-000000002678,"Пакет С4 229х324х40, крафт, с расширением, силиконовая лента, 130г, 200 шт./в упак.",шт,3000.0,43086.0,,,3000.0,43086.0,,
20221,105.36,02-000000001320,Перчатки рабочие трикотажные Комус,упак,2.0,294.24,,,,,2.0,294.24
20221,105.36,02-000000001373,Пистолет для герметика Inforce,шт,1.0,208.75,,,,,1.0,208.75
20221,105.36,02-000000001375,пистолет для пены,шт,4.0,2004.0,,,,,4.0,2004.0
20221,105.36,02-000000002797,Планинг недатированный с логотипом,шт,50.0,25578.0,,,50.0,25578.0,,
20221,105.36,02-000000001731,Пленка воздушно -пузырчатая,шт,1.0,964.8,,,,,1.0,964.8
20221,105.36,02-000000001088,"Пленка воздушно-пузырьковая трехслойная 1,5*50 м",рул,2.0,4489.9,,,1.0,2244.95,1.0,2244.95
20221,105.36,02-000000001370,"Пленка укрывная 2,7*20м с малярной лентой (для крепления к поверхности)",шт,3.0,2004.0,,,,,3.0,2004.0
20221,105.36,02-000000001321,"Полотно техническое вафельное, плотность 145г/м, 60мх45см",рул,2.0,3644.72,,,,,2.0,3644.72
20221,105.36,02-000000002152,Присоска для снятия стекол двойная TOPEX 14А780,шт,2.0,1540.5,,,1.0,770.25,1.0,770.25
20221,105.36,02-000000001374,Растворитель 646,м3,8.0,1336.0,,,,,8.0,1336.0
20221,105.36,02-000000001336,Розетка RJ-45,шт,68.0,3383.0,,,2.0,99.5,66.0,3283.5
20221,105.36,02-000000001728,Рулонные полотенца Tork H1 Advanced Soft Matic(120067),рул,,,435.0,250294.65,435.0,250294.65,,
20221,105.36,02-000000002156,"Саморез 4,2*32 ШСММ с прессшайбой",упак,1.0,219.35,,,,,1.0,219.35
20221,105.36,02-000000002158,Саморез Tech-krep 3.5*16 ШСГД редкая резьба,упак,1.0,312.0,,,,,1.0,312.0
20221,105.36,02-000000002155,"Саморез прессшайба ШСММ 4,2*19 мм острый оцинкованный, шлиц PY2",упак,1.0,175.5,,,,,1.0,175.5
20221,105.36,02-000000002154,"Саморез с прессшайбой сверло 4,2*25 ШСММ",упак,1.0,195.0,,,,,1.0,195.0
20221,105.36,02-000000002157,"Саморез ШСГМ 3,5*51",упак,1.0,170.6,,,,,1.0,170.6
20221,105.36,02-000000001362,"Саморезы универсальные оцинкованные 3,5*30 мм",шт,1000.0,2340.0,,,,,1000.0,2340.0
20221,105.36,02-000000001383,саморезы универсальные оцинкованные 6*80,шт,200.0,668.0,,,,,200.0,668.0
20221,105.36,02-000000001359,Сверло HSS 3*61 мм по металлу,шт,3.0,175.35,,,,,3.0,175.35
20221,105.36,02-000000001046,Сверло по кафелю и стеклу Курс 6 мм,шт,12.0,1062.12,,,,,12.0,1062.12
20221,105.36,02-000000001358,Сверло по металлу HSS-CO (3.5*70*39 mm),к-т,4.0,249.84,,,,,4.0,249.84
20221,105.36,02-000000001360,Сверло по металлу HSS-Co 4.5*80 мм Dexter Pro,шт,8.0,601.2,,,,,8.0,601.2
20221,105.36,02-000000001361,"Сверло спиральное HSS 6.0*93mm ""MP 10",шт,4.0,367.4,,,,,4.0,367.4
20221,105.36,02-000000001397,"Сетевой фильтр Defender DFS 153,6роз./3м/10А/125Дж,черный",шт,36.0,8733.6,,,,,36.0,8733.6
20221,105.36,02-000000001395,"Сетевой фильтр Defender DFS 605.6роз./5м/10А/220Дж,белый",шт,86.0,33279.42,,,,,86.0,33279.42
20221,105.36,02-000000000738,"Сетевой фильтр DEFENDER ES, 5 розеток, 5 м, белый, 99483",шт,3.0,945.39,,,3.0,945.39,,
20221,105.36,02-000000001405,"Сетевой фильтр PILOT-S.6роз./5м/10Ф/80ДЖ, белый",шт,48.0,35217.6,,,1.0,733.7,47.0,34483.9
20221,105.36,02-000000001396,"Сетевой фильтр PILOT-S.6роз./7м/10А/80Дж,белый",шт,33.0,28063.53,,,,,33.0,28063.53
20221,105.36,02-000000002973,Силиконовая смазка 400 мл Akfix YA14,шт,,,7.0,2419.2,,,7.0,2419.2
20221,105.36,02-000000001049,Силиконовая смазка 400 мл. Akfiks YA14,шт,1.0,258.85,,,,,1.0,258.85
20221,105.36,02-000000001387,"Силиконовый герметик, прозрачный SOUDAL PROFIL",шт,6.0,1017.0,,,,,6.0,1017.0
20221,105.36,02-000000002142,Сменное жало держатель для бит Dexter,шт,1.0,321.75,,,,,1.0,321.75
20221,105.36,02-000000001729,Сменный баллон Discover Ocen к автоматическому освежителю воздуха,шт,148.0,51386.93,,,148.0,51386.93,,
20221,105.36,02-000000001334,Соединительная клемма 221-415,шт,29.0,1615.88,,,,,29.0,1615.88
20221,105.36,02-000000001730,Стакан одноразовый,упак,,,900.0,72000.0,900.0,72000.0,,
20221,105.36,02-000000002011,Стекло для пожарного шкафа ТОИР-М,шт,2.0,79.0,,,,,2.0,79.0
20221,105.36,02-000000002350,"Стол приставной на металлокаркасе коллекции Тандем-А, 60*60*75 см цвет дуб альпийский арт. ПК-ТНА-СТП60*60-В2-30",шт,5.0,46703.25,,,,,5.0,46703.25
20221,105.36,02-000000002166,"Стрейч-пленка для ручной упаковки, 20мкм*50 см*220 м,престрейч 180%, 6 шт. в упак.",упак,5.0,8242.5,,,1.0,1648.5,4.0,6594.0
20221,105.36,02-000000001371,"Стяжка межсекционная мебельная, М6*30",шт,100.0,401.0,,,,,100.0,401.0
20221,105.36,02-000000001369,Телескопический удлинитель для малярных валиков,шт,3.0,876.75,,,,,3.0,876.75
20221,105.36,02-000000003118,"Туалетная бумага Tork T2 Advanced (120231), упак. 12 шк",упак,,,91.0,216903.96,91.0,216903.96,,
20221,105.36,02-000000001047,Уголок крепежный услиенный 50*50*35*2 мм,шт,26.0,434.2,,,,,26.0,434.2
20221,105.36,02-000000001333,"Удлинитель 25 м на катушке LUX ПВС 2*0,75, 4 розетки б/з 24025",шт,3.0,3432.75,,,,,3.0,3432.75
20221,105.36,02-000000000733,"Удлинитель в бухте POWER CUBE, 1 розетка с заземлением, 10м, 3х0,75мм, 1300Вт, оранж, PC-EG1-B-10",шт,3.0,1127.97,,,,,3.0,1127.97
20221,105.36,02-000000000734,"Удлинитель РАДИСТ ПРЕМИУМ P16-012, 3 розетки с заземлением, 7м, 3х0,75мм, 1300Вт, белый",шт,13.0,3354.26,,,,,13.0,3354.26
20221,105.36,02-000000002986,Факсимиле на оснастке GRM 4912_P3 47х18 мм,шт,,,1.0,600.0,1.0,600.0,,
20221,105.36,02-000000003112,Факсимиле на оснастке GRM 4912_P3 60х40 мм,шт,,,2.0,1800.0,2.0,1800.0,,
20221,105.36,02-000000002355,Чашка для опечатывания с флажком,шт,15.0,10998.0,,,,,15.0,10998.0
20221,105.36,02-000000003117,Чашка кофейная одноразовая,упак,,,7.0,983.5,7.0,983.5,,
20221,105.36,02-000000002962,Шпатель KRAFTOOL 10035-100,шт,,,2.0,840.64,,,2.0,840.64
20221,105.36,02-000000002963,Шпатель STAYER MASTER 60 мм 10041-06 Высота лезвия,шт,,,2.0,359.2,,,2.0,359.2
20221,105.36,02-000000002964,Шпатель STAYERPROFESSIONAL 10045-20,шт,,,2.0,1138.08,,,2.0,1138.08
20221,105.36,02-000000001337,Штангенциркуль 150мм TOREX 31C615,шт,1.0,579.64,,,,,1.0,579.64
20221,105.36,02-000000001372,Шуруп-крюк (HS) 6*60,шт,26.0,434.2,,,,,26.0,434.2
20221,105.36,02-000000002572,"Экран на рабочий стол коллекции Тандем-А,140*48 смс комплектом крепежа, арт.ПТ-ТНА-ЭКР 140*2/НК-В1/3-297",шт,26.0,94075.8,,,,,26.0,94075.8
20221,105.36,02-000000002352,"Экран на рабочий стол коллекции Тандем-А,150*48 смс комплектом крепежа, арт.ПТ-ТНА-ЭКР 150*2/НК-В1/3-297",шт,11.0,40312.8,,,,,11.0,40312.8
20221,105.36,02-000000001794,Экран разделительный для стола из древесины (Древесных материалов),шт,23.0,88067.23,,,,,23.0,88067.23
20221,105.36,02-000000001776,Экран фронтальный двухсторонний с тканевой накладкой,шт,37.0,280312.0,,,,,37.0,280312.0
20222,105.34,02-000000002970,"Клей Момент Столяр Экспресс,750г",шт,2.0,820.8,,,,,2.0,820.8
20222,105.34,02-000000002969,"Клей монтажный «Tytanprofessional» ClassicFixкаучуковый, прозрачный 310мл",шт,4.0,1900.8,,,1.0,475.2,3.0,1425.6
20222,105.34,02-000000002971,"Клей ПВА TYTAN PROFESSIONAL WB 33D3 для древесины,белый750г",шт,3.0,2397.6,,,,,3.0,2397.6
20222,105.34,02-000000002977,Крепежный уголок 50х50х35х2,шт,100.0,2224.0,,,30.0,667.2,70.0,1556.8
20222,105.35,02-000000002551,"Ботинки кожаные ""Стандарт-М"" утепленные, ПУ/ТПУ, с внутренними металлическими защитными носками р.43",пар,2.0,4230.92,,,,,2.0,4230.92
20222,105.35,02-000000002557,Держатель предфильтров UNIX,упак,2.0,162.58,,,,,2.0,162.58
20222,105.35,02-000000002563,"Костюм мужской ""Азов"" для защиты от механических воздействий и ОПЗ /куртка + брюки/ р. 96-100/170-176",шт,4.0,13902.72,,,,,4.0,13902.72
20222,105.35,02-000000002564,"Костюм мужской ""Азов"" для защиты от механических воздействий и ОПЗ /куртка + брюки/ р. 96-100/182-188",шт,2.0,6951.36,,,,,2.0,6951.36
20222,105.35,02-000000002565,"Костюм мужской ""Азов"" для защиты от механических воздействий и ОПЗ /куртка + брюки/ р.104-108/182-188",шт,10.0,34756.8,,,,,10.0,34756.8
20222,105.35,02-000000002569,"Куртка мужская ""Зима"" для защиты от пониженных температур р. 104-108/182-188",шт,1.0,2257.25,,,,,1.0,2257.25
20222,105.35,02-000000002544,"Очки открытые ""Феос Ван"" UVEX (9192370) прозрачная линза, покрытие supravision excellence",шт,1.0,409.29,,,,,1.0,409.29
20222,105.35,02-000000002553,"Перчатки трикотажные ""Сити"" для защиты рук от механических взаимодействий и ОПЗ/ПВХ-покрытие/ р.9",пар,40.0,1323.2,,,,,40.0,1323.2
20222,105.35,02-000000002548,"Плащ мужской ""Циклон"" для защиты от нефти, нефтепродуктов, воды с СВ полосой р. 104-108/182-188",шт,3.0,5254.77,,,,,3.0,5254.77
20222,105.35,02-000000002546,"Плащ мужской ""Циклон"" для защиты от нефти, нефтепродуктов, воды с СВ полосой р. 96-100/170-176",шт,1.0,1751.59,,,,,1.0,1751.59
20222,105.35,02-000000002539,"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.42",пар,2.0,5839.74,,,,,2.0,5839.74
20222,105.35,02-000000002540,"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.43",пар,3.0,8759.61,,,,,3.0,8759.61
20222,105.35,02-000000002541,"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.44",пар,2.0,5839.74,,,,,2.0,5839.74
20222,105.35,02-000000002542,"Полуботинки мужские ""Атлетик-Лайт"" микрофибра,ПУ/ТПУ, композит. внутр. защ. носок р.45",пар,2.0,5839.74,,,,,2.0,5839.74
20222,105.35,02-000000002554,Полумаска изолирующая UNIX 1000 (большой размер),шт,1.0,861.12,,,,,1.0,861.12
20222,105.35,02-000000003144,Противогаз ГП -21У с фильтром ФК-Универсал марки A1B1E1K1HgSXP3D и лицевой частью МП-3,шт,,,2.0,10320.0,,,2.0,10320.0
20222,105.35,02-000000003145,Самоспасатель пожарный изолирующий СПИ-20М,шт,,,8.0,43120.0,6.0,32340.0,2.0,10780.0
20222,105.35,02-000000002555,Фильтр UNIX 522 марки А2В2Е2,упак,4.0,2695.84,,,,,4.0,2695.84
20222,105.35,02-000000002556,Фильтр противоаэрозольный UNIX Р2,упак,8.0,1300.64,,,,,8.0,1300.64
20222,105.35,02-000000002560,Халат мужской р. 104-108/182-188,шт,1.0,1028.63,,,,,1.0,1028.63
20222,105.36,02-000000003180,Brauberg Блок пастельный самоклеящийся цвет светло-зеленый 76 х 76 мм 100 листов,упак,,,400.0,15840.0,,,400.0,15840.0
20222,105.36,02-000000001414,Аптечка для оказания первой помощи работникам (пластиковый шкаф 250мм*300мм*110мм) ФЭСТ.(Изготовлена в соответствии с Приказов Минздравсоцразвития РФ,шт,13.0,10580.83,,,,,13.0,10580.83
